smallRNAName	NC1	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-10470	0	0	1.291517443	4.404859441	0	0	0	0	5.664823711	3.285205079
tsrna-02965	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-01506	0	0	0	4.404859441	1.255366693	0	0	0	0	0
tsrna-15145	2.635421114	0	3.874552328	4.404859441	0	0	0	1.992111239	11.32964742	3.285205079
tsrna-23873	0	1.084043743	0	0	0	0	0	5.976333718	16.99447113	3.285205079
tsrna-26531	0	0	1.291517443	0	0	0	3.766634399	0	5.664823711	0
tsrna-19722	2.635421114	1.084043743	5.16606977	0	8.787566848	0	0	0	0	0
tsrna-02962	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-26395	0	0	0	0	0	0	0	0	0	3.285205079
tsrna-23350	7.906263342	2.168087487	7.749104656	13.21457832	1.255366693	5.979895591	3.766634399	11.95266744	0	3.285205079
tsrna-00986	5.270842228	1.084043743	2.583034885	8.809718882	1.255366693	5.979895591	11.2999032	1.992111239	5.664823711	6.570410158
tsrna-07887	5.270842228	0	2.583034885	13.21457832	8.787566848	0	3.766634399	1.992111239	0	0
tsrna-06953	0	0	0	0	0	5.979895591	0	3.984222479	11.32964742	3.285205079
tsrna-19493	44.80215894	2.168087487	11.62365698	26.42915665	6.276833463	17.93968677	15.0665376	9.960556197	124.6261216	26.28164063
tsrna-04295	0	0	1.291517443	0	1.255366693	0	3.766634399	1.992111239	0	0
tsrna-23609	7.906263342	4.336174973	23.24731397	4.404859441	5.02146677	5.979895591	26.36644079	9.960556197	5.664823711	0
tsrna-26378	0	0	1.291517443	0	0	0	0	0	5.664823711	0
tsrna-16379	7.906263342	2.168087487	0	0	5.02146677	0	0	0	0	0
tsrna-25072	0	0	0	0	0	0	0	1.992111239	5.664823711	3.285205079
tsrna-20087	0	0	0	0	1.255366693	0	3.766634399	0	0	3.285205079
tsrna-08018	7.906263342	2.168087487	5.16606977	8.809718882	10.04293354	0	3.766634399	3.984222479	11.32964742	0
tsrna-21537	0	1.084043743	1.291517443	0	0	0	7.533268798	0	0	0
tsrna-17759	5.270842228	0	2.583034885	4.404859441	0	0	7.533268798	1.992111239	5.664823711	3.285205079
tsrna-19672	7.906263342	1.084043743	11.62365698	4.404859441	2.510733385	0	7.533268798	5.976333718	22.65929484	19.71123047
tsrna-18388	2.635421114	3.25213123	2.583034885	0	2.510733385	17.93968677	11.2999032	7.968444958	22.65929484	6.570410158
tsrna-14832	0	1.084043743	0	0	1.255366693	5.979895591	0	13.94477868	16.99447113	3.285205079
tsrna-04729	7.906263342	0	5.16606977	8.809718882	2.510733385	0	0	1.992111239	5.664823711	3.285205079
tsrna-22826	0	1.084043743	2.583034885	0	3.766100078	0	0	0	5.664823711	3.285205079
tsrna-13829	0	1.084043743	6.457587213	0	5.02146677	0	0	7.968444958	0	0
tsrna-10958	2.635421114	2.168087487	1.291517443	4.404859441	1.255366693	11.95979118	3.766634399	1.992111239	0	13.14082032
tsrna-06460	0	0	0	0	1.255366693	0	0	3.984222479	0	3.285205079
tsrna-04451	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-15105	176.5732146	161.5225178	162.7311978	242.2672693	141.8564363	328.8942575	218.4647952	165.3452329	237.9225958	170.8306641
tsrna-04890	0	1.084043743	0	0	2.510733385	0	0	0	0	0
tsrna-16659	2.635421114	0	0	0	0	0	0	1.992111239	0	0
tsrna-19130	0	0	1.291517443	0	0	0	3.766634399	0	0	3.285205079
tsrna-04877	0	0	0	0	0	0	0	0	5.664823711	0
tsrna-13995	0	0	2.583034885	0	1.255366693	0	0	3.984222479	11.32964742	3.285205079
tsrna-11865	0	0	0	0	0	0	0	1.992111239	5.664823711	0
tsrna-18597	2.635421114	0	12.91517443	0	2.510733385	11.95979118	0	3.984222479	16.99447113	3.285205079
tsrna-04176	0	1.084043743	3.874552328	96.9069077	3.766100078	0	3.766634399	0	0	0
tsrna-21274	10.54168446	2.168087487	1.291517443	30.83401609	5.02146677	0	0	5.976333718	39.65376597	0
tsrna-05057	2.635421114	0	0	0	0	0	3.766634399	0	0	0
tsrna-25650	0	0	0	0	0	0	0	0	5.664823711	0
tsrna-14553	2.635421114	0	0	0	0	0	0	0	5.664823711	0
tsrna-05056	0	0	1.291517443	0	0	0	3.766634399	0	0	3.285205079
tsrna-05101	2.635421114	0	1.291517443	0	2.510733385	0	3.766634399	1.992111239	5.664823711	0
tsrna-05980	0	0	0	0	0	0	3.766634399	0	5.664823711	0
tsrna-15204	2.635421114	0	0	0	1.255366693	5.979895591	11.2999032	13.94477868	5.664823711	3.285205079
tsrna-06782	0	0	0	0	0	0	0	0	0	6.570410158
tsrna-26058	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-24996	0	1.084043743	1.291517443	0	0	0	0	0	5.664823711	3.285205079
tsrna-19695	0	0	2.583034885	0	1.255366693	0	0	0	5.664823711	3.285205079
tsrna-13693	0	0	0	101.3117671	1.255366693	0	0	1.992111239	11.32964742	3.285205079
tsrna-26577	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-15781	36.8958956	9.75639369	15.49820931	30.83401609	15.06440031	71.75874709	67.79941918	29.88166859	39.65376597	22.99643555
tsrna-07043	0	0	1.291517443	0	1.255366693	5.979895591	0	0	0	3.285205079
tsrna-20194	7.906263342	2.168087487	5.16606977	8.809718882	6.276833463	0	15.0665376	3.984222479	0	16.42602539
tsrna-22071	2.635421114	0	0	0	0	0	0	0	0	0
tsrna-20476	0	1.084043743	1.291517443	0	0	0	3.766634399	1.992111239	0	0
tsrna-22295	0	0	1.291517443	0	0	0	0	0	0	0
tsrna-22270	0	0	1.291517443	17.61943776	1.255366693	0	0	3.984222479	16.99447113	6.570410158
tsrna-04283	7.906263342	1.084043743	7.749104656	96.9069077	5.02146677	11.95979118	18.833172	5.976333718	226.5929484	32.85205079
tsrna-01449	0	0	0	8.809718882	0	5.979895591	0	0	5.664823711	3.285205079
tsrna-00409	303.0734281	68.29475583	121.4026396	180.5992371	105.4508022	197.3365545	229.7646983	131.4793418	515.4989577	354.8021485
tsrna-12890	7.906263342	0	1.291517443	264.2915665	3.766100078	0	7.533268798	3.984222479	0	0
tsrna-09589	0	1.084043743	0	0	0	0	0	0	0	0
tsrna-10730	18.4479478	3.25213123	9.040622098	13.21457832	12.55366693	5.979895591	30.13307519	13.94477868	5.664823711	9.855615237
tsrna-13765	0	0	0	0	0	0	0	0	0	3.285205079
tsrna-18876	0	0	0	4.404859441	0	0	3.766634399	0	0	0
tsrna-15892	0	0	0	4.404859441	0	0	0	1.992111239	5.664823711	0
tsrna-04064	108.0522657	149.5980366	91.69773842	114.5263455	101.6847021	185.3767633	94.16585998	61.75544842	203.9336536	118.2673828
tsrna-10305	0	0	1.291517443	0	0	0	0	3.984222479	0	0
tsrna-16888	0	0	1.291517443	0	1.255366693	0	0	0	5.664823711	3.285205079
tsrna-04823	0	0	1.291517443	0	0	0	0	0	0	0
tsrna-10796	7.906263342	1.084043743	6.457587213	0	1.255366693	5.979895591	30.13307519	5.976333718	28.32411855	9.855615237
tsrna-15354	0	1.084043743	6.457587213	114.5263455	2.510733385	11.95979118	7.533268798	7.968444958	28.32411855	3.285205079
tsrna-03435	7.906263342	6.50426246	5.16606977	17.61943776	6.276833463	11.95979118	3.766634399	1.992111239	56.64823711	22.99643555
tsrna-17760	15.81252668	0	7.749104656	8.809718882	2.510733385	11.95979118	0	1.992111239	0	9.855615237
tsrna-13522	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-18964	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-18038	7.906263342	3.25213123	1.291517443	70.47775105	0	11.95979118	7.533268798	0	67.97788453	3.285205079
tsrna-25825	0	0	1.291517443	0	0	0	0	0	5.664823711	0
tsrna-23044	0	0	1.291517443	0	0	0	0	0	0	0
tsrna-25413	5.270842228	1.084043743	2.583034885	35.23887553	0	0	0	3.984222479	73.64270824	3.285205079
tsrna-19114	0	0	3.874552328	8.809718882	0	0	0	1.992111239	5.664823711	0
tsrna-06964	477.0112216	67.21071209	153.6905757	198.2186748	204.6247709	155.4772854	214.6981608	137.4556755	651.4547267	279.2424317
tsrna-02857	5.270842228	1.084043743	1.291517443	0	2.510733385	0	0	5.976333718	5.664823711	0
tsrna-02817	0	0	0	4.404859441	0	5.979895591	0	0	0	0
tsrna-19144	39.53131671	7.588306203	20.66427908	13.21457832	13.80903362	17.93968677	26.36644079	7.968444958	28.32411855	36.13725587
tsrna-01444	0	0	0	26.42915665	0	0	0	0	5.664823711	3.285205079
tsrna-08916	28.98963225	6.50426246	18.0812442	35.23887553	15.06440031	29.89947796	18.833172	19.92111239	16.99447113	19.71123047
tsrna-26192	18.4479478	11.92448118	18.0812442	211.4332532	6.276833463	5.979895591	7.533268798	21.91322363	11.32964742	13.14082032
tsrna-05438	0	0	1.291517443	0	0	0	0	0	0	0
tsrna-25673	0	0	0	4.404859441	0	0	0	1.992111239	0	0
tsrna-12340	0	2.168087487	0	0	0	0	3.766634399	3.984222479	0	0
tsrna-15081	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-00275	5.270842228	1.084043743	3.874552328	4.404859441	0	0	7.533268798	0	45.31858969	0
tsrna-10755	5.270842228	2.168087487	2.583034885	0	2.510733385	0	0	0	0	0
tsrna-12977	0	0	0	0	0	0	0	0	5.664823711	0
tsrna-05059	2.635421114	0	1.291517443	0	0	0	0	1.992111239	16.99447113	0
tsrna-06078	0	0	0	4.404859441	0	0	0	0	5.664823711	3.285205079
tsrna-19516	5.270842228	2.168087487	6.457587213	8.809718882	8.787566848	0	3.766634399	9.960556197	0	6.570410158
tsrna-15235	0	2.168087487	1.291517443	4.404859441	1.255366693	0	3.766634399	0	0	3.285205079
tsrna-14866	0	0	1.291517443	4.404859441	1.255366693	5.979895591	0	1.992111239	0	3.285205079
tsrna-16565	0	0	0	0	0	0	3.766634399	0	0	0
tsrna-13956	0	1.084043743	1.291517443	4.404859441	1.255366693	0	0	0	0	0
tsrna-25583	2.635421114	0	0	0	0	0	0	0	0	0
tsrna-04605	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-04426	0	0	1.291517443	0	0	0	0	0	0	0
tsrna-05343	0	1.084043743	1.291517443	0	0	0	0	1.992111239	0	3.285205079
tsrna-21070	0	1.084043743	0	0	1.255366693	0	0	1.992111239	5.664823711	0
tsrna-02483	0	0	1.291517443	4.404859441	0	0	0	0	11.32964742	0
tsrna-11677	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-07332	5.270842228	3.25213123	2.583034885	13.21457832	0	11.95979118	11.2999032	1.992111239	16.99447113	9.855615237
tsrna-09012	36.8958956	7.588306203	11.62365698	17.61943776	22.59660047	11.95979118	48.96624719	23.90533487	22.65929484	49.27807618
tsrna-15953	13.17710557	0	2.583034885	8.809718882	5.02146677	0	3.766634399	5.976333718	5.664823711	6.570410158
