GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
"SNORA70"	0.0	0.0	42.0	0.0	0.0	0.0	0.0	135.0
"ACTL6B"	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
"ACTL6A"	63.0	49.0	40.0	88.0	0.0	178.0	113.0	43.0
"SIRT5"	133.0	244.0	0.0	53.0	109.0	163.0	37.0	143.0
"SIRT6"	1368.0	1472.0	1166.0	225.0	1070.0	806.0	478.0	454.0
"SIRT7"	1429.0	639.0	785.0	1253.0	147.0	274.0	648.0	763.0
"F2"	0.0	0.0	82.0	0.0	0.0	0.0	116.0	55.0
"F3"	180.0	56.0	0.0	0.0	518.0	46.0	62.0	0.0
"SIRT1"	0.0	105.0	61.0	77.0	0.0	22.0	26.0	0.0
"BIVM-ERCC5"	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
"SIRT2"	448.0	498.0	28.0	808.0	0.0	73.0	317.0	326.0
"F5"	0.0	345.0	1.0	20.0	0.0	72.0	27.0	1.0
"SIRT3"	112.0	196.0	4.0	231.0	28.0	183.0	224.0	75.0
"F7"	0.0	67.0	0.0	0.0	325.0	0.0	0.0	28.0
"F8"	0.0	71.0	0.0	26.0	0.0	0.0	0.0	0.0
"BDH2"	144.0	233.0	53.0	73.0	0.0	76.0	40.0	162.0
"BDH1"	1567.0	810.0	1676.0	249.0	470.0	825.0	404.0	661.0
"CDC42EP5"	5290.0	5666.0	6456.0	753.0	2228.0	3417.0	2187.0	3759.0
"CDC42EP4"	807.0	971.0	237.0	655.0	128.0	246.0	198.0	388.0
"CDC42EP3"	167.0	302.0	11.0	240.0	401.0	126.0	143.0	145.0
"CDC42EP2"	88.0	86.0	229.0	417.0	415.0	159.0	107.0	2.0
"CDC42EP1"	1039.0	1070.0	615.0	439.0	251.0	313.0	119.0	396.0
"SNORA67"	79.0	0.0	45.0	0.0	0.0	0.0	0.0	26.0
"DLD"	22.0	158.0	171.0	95.0	400.0	30.0	13.0	54.0
"MDFI"	104.0	0.0	0.0	0.0	5.0	63.0	65.0	18.0
"RPL31P27"	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0
"FH"	151.0	669.0	185.0	227.0	565.0	48.0	270.0	87.0
"RPL31P29"	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0
"RPL31P28"	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
"RPL31P20"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0
"CCNDBP1"	212.0	133.0	252.0	1165.0	556.0	216.0	301.0	419.0
"HLA-DMA"	715.0	985.0	846.0	169.0	678.0	791.0	589.0	757.0
"HLA-DMB"	62.0	322.0	152.0	519.0	0.0	155.0	178.0	324.0
"DMD"	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0
"CSMD3"	120.0	48.0	0.0	45.0	0.0	25.0	73.0	97.0
"CSMD2"	2.0	140.0	196.0	206.0	0.0	134.0	62.0	1.0
"GC"	0.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0
"CSMD1"	0.0	198.0	0.0	128.0	0.0	82.0	43.0	65.0
"RPL31P16"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0
"MDH1"	318.0	180.0	27.0	173.0	664.0	408.0	214.0	150.0
"GK"	40.0	100.0	209.0	49.0	0.0	0.0	0.0	0.0
"RPL31P19"	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
"MDH2"	1023.0	2002.0	1532.0	910.0	796.0	904.0	920.0	1094.0
"HNRNPUL2-BSCL2"	315.0	614.0	503.0	807.0	217.0	594.0	298.0	695.0
"RPL31P11"	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
"RPL31P14"	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0
"RPL31P13"	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0
"TTLL7"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0
"TTLL6"	51.0	66.0	103.0	115.0	0.0	0.0	43.0	20.0
"LPGAT1P1"	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
"TTLL5"	0.0	100.0	32.0	111.0	0.0	69.0	0.0	12.0
"TTLL4"	0.0	168.0	0.0	100.0	673.0	44.0	43.0	75.0
"TTLL3"	801.0	1037.0	467.0	23.0	244.0	753.0	191.0	464.0
"TTLL2"	1.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0
"TTLL1"	21.0	0.0	0.0	239.0	12.0	0.0	0.0	41.0
"GGT3P"	0.0	0.0	0.0	66.0	0.0	0.0	3.0	1.0
"LOC100132562"	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
"TTLL9"	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
"LOC102724773"	0.0	59.0	0.0	49.0	0.0	0.0	0.0	0.0
"HP"	0.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0
"LOC100421332"	0.0	0.0	0.0	0.0	0.0	46.0	67.0	0.0
"HR"	367.0	543.0	173.0	158.0	265.0	263.0	241.0	314.0
"HPGDS"	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0
"ABCB10P1"	0.0	69.0	0.0	43.0	0.0	0.0	0.0	0.0
"OR6C73P"	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
"LOC102724776"	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0
"ABCB10P4"	2.0	22.0	0.0	84.0	0.0	0.0	0.0	0.0
"LOC100421330"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0
"PABPC4L"	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0
"GGT4P"	26.0	0.0	41.0	84.0	0.0	0.0	0.0	0.0
"HLA-DOA"	138.0	329.0	90.0	274.0	215.0	47.0	71.0	329.0
"HLA-DOB"	1.0	0.0	1.0	65.0	0.0	38.0	0.0	18.0
"VPS33A"	134.0	85.0	0.0	27.0	0.0	0.0	83.0	305.0
"VPS33B"	186.0	489.0	2.0	254.0	452.0	100.0	0.0	0.0
"LOC102724784"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
"LOC102724782"	0.0	1.0	0.0	0.0	0.0	0.0	0.0	66.0
"LOC102724781"	14.0	77.0	0.0	11.0	0.0	0.0	0.0	0.0
